tunecache	0.7.2	0.7.2	cpu_arch=x86_64,gpu_arch=sm_35,cuda_version=7000	# Last updated Fri Jan 29 22:21:00 2016

volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	comment
24x48x24x4	N4quda16WilsonDslashCudaI7double2S1_EE	type=exterior_z,comm=0011,reconstruct=8,Xpay	128	1	1	864	1	1	0	# 32.97 Gflop/s, 87.92 GB/s, tuned Mon Dec 28 19:40:39 2015
24x48x24x4	N4quda16WilsonDslashCudaI7double2S1_EE	type=interior,comm=0011,ghost=0011,reconstruct=8,Xpay	64	1	1	1728	1	1	0	# 136.07 Gflop/s, 188.54 GB/s, tuned Mon Dec 28 19:40:39 2015
24x48x24x4	N4quda21TwistCloverGamma5CudaI7double2S1_EE	vol=110592,stride=110592,precision=8,TwistFlavour=-1,inverse	384	1	1	288	1	1	16385	# 2.63 Gflop/s, 54.31 GB/s, tuned Mon Dec 28 19:41:40 2015
24x48x24x4	N4quda21TwistCloverGamma5CudaI7double2S1_EE	vol=110592,stride=110592,precision=8,TwistFlavour=1,inverse	384	1	1	288	1	1	8193	# 2.66 Gflop/s, 55.01 GB/s, tuned Mon Dec 28 19:40:38 2015
24x48x24x4	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	vol=110592,stride=110592,precision=8,TwistFlavour=-1	704	1	1	27	1	1	16896	# 39.75 Gflop/s, 158.99 GB/s, tuned Mon Dec 28 19:41:25 2015
24x48x24x4	N4quda22HeavyQuarkResidualNormI7double37double2S2_EE	vol=110592,stride=110592,precision=8,TwistFlavour=1	320	1	1	28	1	1	7680	# 39.77 Gflop/s, 159.07 GB/s, tuned Mon Dec 28 19:40:48 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_t,Dslash,comm=0011,reconstruct=8	160	1	1	692	1	1	0	# 31.69 Gflop/s, 35.75 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_t,Dslash,comm=0011,reconstruct=8,dagger	320	1	1	346	1	1	16385	# 31.31 Gflop/s, 35.32 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_t,DslashCloverTwist,comm=0011,reconstruct=8,Xpay	320	1	1	346	1	1	7022	# 52.59 Gflop/s, 70.12 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_t,DslashCloverTwist,comm=0011,reconstruct=8,Xpay,dagger	128	1	1	864	1	1	0	# 52.39 Gflop/s, 69.86 GB/s, tuned Mon Dec 28 19:40:49 2015
